S.No,State_Name,Rural_Beneficiaries,Urban_Beneficiaries,Total_Beneficiaries,Balance_Crores,RuPay_Cards,Balance_Rupees,Rural_Percent,Urban_Percent,RuPay_Penetration,Avg_Balance_Rs,Rural_Urban_Ratio,State_Name_Std
1,Andaman And Nicobar Islands,43496,19030,62526,43.44,37806,434400000.0,69.56,30.44,60.46,6947.51,2.286,ANDAMAN AND NICOBAR ISLANDS
2,Andhra Pradesh,8492594,7569509,16062103,5241.07,10328728,52410700000.0,52.87,47.13,64.3,3263.0,1.122,ANDHRA PRADESH
3,Arunachal Pradesh,345540,125629,471169,280.85,316808,2808500000.0,73.34,26.66,67.24,5960.71,2.75,ARUNACHAL PRADESH
4,Assam,19581277,5397305,24978582,6632.38,14759818,66323800000.0,78.39,21.61,59.09,2655.23,3.628,ASSAM
5,Bihar,46738141,17800278,64538419,25102.99,46698178,251029900000.00003,72.42,27.58,72.36,3889.62,2.626,BIHAR
6,Chandigarh,47356,289149,336505,197.02,215309,1970200000.0,14.07,85.93,63.98,5854.89,0.164,CHANDIGARH
7,Chhattisgarh,12878618,5446745,18325363,8890.41,11137330,88904100000.0,70.28,29.72,60.78,4851.42,2.364,CHHATTISGARH
8,Delhi,637066,6167837,6804903,3327.91,5240021,33279100000.0,9.36,90.64,77.0,4890.46,0.103,DELHI
9,Goa,180364,38624,218988,196.03,154817,1960300000.0,82.36,17.64,70.7,8951.63,4.67,GOA
10,Gujarat,11570050,7838065,19408115,10835.48,14764579,108354800000.0,59.61,40.39,76.07,5582.96,1.476,GUJARAT
11,Haryana,5366349,5325971,10692320,7179.32,7340158,71793200000.0,50.19,49.81,68.65,6714.46,1.008,HARYANA
12,Himachal Pradesh,1837137,169153,2006290,1480.44,1321731,14804400000.0,91.57,8.43,65.88,7378.99,10.861,HIMACHAL PRADESH
13,Jammu And Kashmir,1802846,435646,2238492,1674.07,1801442,16740700000.0,80.54,19.46,80.48,7478.56,4.138,JAMMU AND KASHMIR
14,Jharkhand,16444540,3360500,19805040,10387.29,13511458,103872900000.00002,83.03,16.97,68.22,5244.77,4.893,JHARKHAND
15,Karnataka,12088049,8634832,20722881,10946.28,12915989,109462800000.0,58.33,41.67,62.33,5282.22,1.4,KARNATAKA
16,Kerala,4251596,2790868,7042464,3376.21,3814517,33762100000.0,60.37,39.63,54.16,4794.07,1.523,KERALA
17,Ladakh,14445,4823,19268,24.72,14349,247200000.0,74.97,25.03,74.47,12829.56,2.995,LADAKH
18,Lakshadweep,8192,1997,10189,18.32,7788,183200000.0,80.4,19.6,76.44,17980.17,4.102,LAKSHADWEEP
19,Madhya Pradesh,27802333,17859751,45662084,16331.17,34026565,163311700000.0,60.89,39.11,74.52,3576.53,1.557,MADHYA PRADESH
20,Maharashtra,20087811,16474759,36562570,18564.42,25809113,185644199999.99997,54.94,45.06,70.59,5077.44,1.219,MAHARASHTRA
21,Manipur,673791,410745,1084536,303.22,698038,3032200000.0000005,62.13,37.87,64.36,2795.85,1.64,MANIPUR
22,Meghalaya,778281,89207,867488,475.99,523299,4759900000.0,89.72,10.28,60.32,5486.99,8.724,MEGHALAYA
23,Mizoram,248890,169798,418688,207.38,190660,2073800000.0,59.45,40.55,45.54,4953.09,1.466,MIZORAM
24,Nagaland,194912,214785,409697,142.72,308634,1427200000.0,47.57,52.43,75.33,3483.55,0.907,NAGALAND
25,Odisha,18236245,4965055,23201300,11318.05,16582518,113180500000.0,78.6,21.4,71.47,4878.2,3.673,ODISHA
26,Puducherry,133017,127206,260223,119.58,164247,1195800000.0,51.12,48.88,63.12,4595.29,1.046,PUDUCHERRY
27,Punjab,5369690,4167250,9536940,4520.69,6857557,45206899999.99999,56.3,43.7,71.91,4740.19,1.289,PUNJAB
28,Rajasthan,23961632,13234244,37195876,20834.22,27644683,208342200000.0,64.42,35.58,74.32,5601.22,1.811,RAJASTHAN
29,Sikkim,65725,29964,95689,55.76,67900,557600000.0,68.69,31.31,70.96,5827.21,2.193,SIKKIM
30,Tamil Nadu,9225774,8449947,17675721,6289.21,12802912,62892100000.0,52.19,47.81,72.43,3558.11,1.092,TAMIL NADU
31,Telangana,7412630,5420026,12832656,5443.65,8845827,54436500000.0,57.76,42.24,68.93,4242.03,1.368,TELANGANA
32,The Dadra And Nagar Haveli And Daman And Diu,212450,28948,241398,173.37,169565,1733700000.0,88.01,11.99,70.24,7181.92,7.339,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
33,Tripura,897070,229903,1126973,639.74,606302,6397400000.0,79.6,20.4,53.8,5676.62,3.902,TRIPURA
34,Uttar Pradesh,72317012,27112922,99429934,53494.93,67395357,534949300000.0,72.73,27.27,67.78,5380.16,2.667,UTTAR PRADESH
35,Uttarakhand,2610701,1292759,3903460,2666.49,2636025,26664899999.999996,66.88,33.12,67.53,6831.09,2.019,UTTARAKHAND
36,West Bengal,40011099,14018976,54030075,25650.07,35044425,256500700000.0,74.05,25.95,64.86,4747.37,2.854,WEST BENGAL
