State,Cluster,Cluster_Name,Jan25_Op_Rate,RuPay_Penetration,Rural_Percent,Avg_Balance_Rs,CAGR_2020_25
ANDAMAN AND NICOBAR ISLANDS,0,Emerging States,0.6343333333333332,0.4742530197075651,0.7322710132587278,1.5806585764025614,-0.6379174850602425
ARUNACHAL PRADESH,0,Emerging States,0.6666666666666665,0.6897647806738716,0.7782508210679967,0.7075117350121447,-0.0317801188532159
ASSAM,0,Emerging States,0.6953333333333331,0.4307056579783854,0.8396788711835544,-1.9044896099242152,0.847119062146973
CHHATTISGARH,0,Emerging States,0.7586666666666666,0.4844246662428482,0.7410290718890646,-0.2740175107174611,-0.850065563232702
HIMACHAL PRADESH,0,Emerging States,0.7726666666666668,0.646535282898919,1.0000000000000002,1.9624435370056588,0.847119062146973
JHARKHAND,0,Emerging States,0.569,0.7209154481881757,0.896119693467948,0.0740290134626367,0.5023784351167264
KERALA,0,Emerging States,0.423,0.2739987285441829,0.6204841260187325,-0.3247623134675024,1.127457594017723
LAKSHADWEEP,0,Emerging States,1.0,0.9821996185632548,0.8641284515265785,2.0955103900757868,1.6994997333756043
MEGHALAYA,0,Emerging States,0.6240000000000001,0.469802924348379,0.9774966549081622,0.2883517008578395,2.025298567711881
MIZORAM,0,Emerging States,0.891,0.18559281627463453,0.6092932733244132,-0.1840571951883127,-0.3575789531894925
ODISHA,0,Emerging States,0.8043333333333331,0.8242212333121426,0.8422333049507359,-0.2503218556582444,0.4607064911899932
TRIPURA,0,Emerging States,0.8626666666666667,0.2625556261919897,0.8543972752706483,0.4561413598899279,-0.7818751095344113
UTTAR PRADESH,0,Emerging States,0.5129999999999999,0.7069294342021615,0.7708307991728501,0.1938256803210153,1.275203577030685
UTTARAKHAND,0,Emerging States,0.5270000000000001,0.698982835346472,0.6996715728013624,1.4776470692332542,0.6880080035176285
WEST BENGAL,0,Emerging States,0.8290000000000002,0.614113159567705,0.7868872399951344,-0.3660837134400726,0.5478387375822532
ANDHRA PRADESH,1,Development States,0.5266666666666664,0.5963127781309598,0.5292543486193894,-1.6794937022470169,0.6880080035176285
BIHAR,1,Development States,0.6659999999999999,0.8525111252383981,0.7670599683736773,-1.1250436883109989,0.3053837910994429
CHANDIGARH,1,Development States,0.3383333333333334,0.586141131595677,0.2762133560394112,0.6138793892927146,-0.293176858029996
DELHI,1,Development States,0.4290000000000002,1.0,0.2762133560394112,-0.2394738821322546,0.4948017180391388
GUJARAT,1,Development States,0.5006666666666666,0.970438652256834,0.6112395085755992,0.3732685050412997,-0.75156824122406
HARYANA,1,Development States,0.4716666666666667,0.7345835982199622,0.4966549081620241,1.3744497484880531,0.1652145251640679
KARNATAKA,1,Development States,0.5516666666666667,0.5336935791481245,0.5956696265661112,0.1071657678303616,-0.065875345702361
MADHYA PRADESH,1,Development States,0.6113333333333335,0.9211697393515575,0.626809390585087,-1.402074033437595,0.0326219763062806
MAHARASHTRA,1,Development States,0.6763333333333335,0.7962492053401147,0.5544337671816081,-0.0740290134626359,-0.1340657994006515
NAGALAND,1,Development States,0.7026666666666666,0.9469167196439924,0.4647853059238536,-1.484345206230948,-0.2780234238748203
PUDUCHERRY,1,Development States,0.8373333333333335,0.5588048315321044,0.5079674005595426,-0.5006481354492482,0.9153095158452632
PUNJAB,1,Development States,0.4893333333333336,0.8382072472981563,0.570976766816689,-0.3724367680825366,-0.0393568359308035
RAJASTHAN,1,Development States,0.7063333333333333,0.9148124602670054,0.6697482058143779,0.3894254378785405,-0.0431451944695977
TAMIL NADU,1,Development States,0.6146666666666665,0.8547361729179914,0.520982848801849,-1.4183725385231356,1.1729178964832496
TELANGANA,1,Development States,0.5766666666666667,0.7434837889383346,0.5887361634837611,-0.8132219631646705,-0.5280550874352189
DAMAN & DIU,2,Priority Intervention States,0.1200000000000001,0.7139224411951686,0.6847098893078702,0.0,-0.4636529922757223
GOA,2,Priority Intervention States,0.09712500000000035,0.799745708836618,0.8879698333536067,2.0955103900757868,-0.5432085215903946
JAMMU & KASHMIR,2,Priority Intervention States,0.4156666666666666,0.7139224411951686,0.6847098893078702,0.0,-1.6456208563794243
LADAKH,2,Priority Intervention States,0.1053333333333332,0.9195804195804196,0.7980780926894538,2.0955103900757868,-2.3616206202114745
MANIPUR,2,Priority Intervention States,0.2183333333333332,0.5982199618563255,0.6418927137817785,-1.9044896099242152,-1.3766474001250564
SIKKIM,2,Priority Intervention States,0.3050000000000001,0.8080101716465351,0.7216883590804039,0.5893873903368096,-2.3616206202114745
